epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,8239.68,0.55877,0.34618,1.0156,0.99615,0.99756,0.99498,0.95784,0.35279,0.23665,0.85403,0.00193857,0.00193857,0.00193857
59,8381.84,0.5528,0.34113,1.01152,0.99639,0.99768,0.99498,0.95833,0.35058,0.23548,0.85295,0.00179714,0.00179714,0.00179714
60,8524.29,0.54823,0.33565,1.00745,0.99681,0.9982,0.99498,0.9581,0.34918,0.234,0.85219,0.00165571,0.00165571,0.00165571
61,8687.07,0.48528,0.28605,0.9481,0.99706,0.9982,0.99499,0.9594,0.34646,0.23285,0.85126,0.00151429,0.00151429,0.00151429
62,8829.1,0.45757,0.27477,0.93159,0.99708,0.9982,0.995,0.96011,0.34295,0.23146,0.84993,0.00137286,0.00137286,0.00137286
63,8970.9,0.44137,0.26741,0.92091,0.99765,0.99846,0.995,0.96102,0.33988,0.2298,0.84873,0.00123143,0.00123143,0.00123143
64,9112.52,0.42973,0.25999,0.9137,0.99857,0.99846,0.995,0.96194,0.33676,0.22803,0.84752,0.00109,0.00109,0.00109
65,9254.56,0.41609,0.25334,0.90665,0.99874,0.99846,0.995,0.96295,0.33421,0.22662,0.84646,0.000948571,0.000948571,0.000948571
66,9396.59,0.40932,0.24961,0.90459,0.9988,0.99846,0.995,0.96328,0.33186,0.22531,0.84541,0.000807143,0.000807143,0.000807143
67,9538.72,0.39733,0.24421,0.89667,0.99897,0.99861,0.995,0.96378,0.32958,0.22405,0.84435,0.000665714,0.000665714,0.000665714
68,9680.97,0.3876,0.23934,0.89232,0.99897,0.99865,0.995,0.96414,0.32732,0.22279,0.84339,0.000524286,0.000524286,0.000524286
69,9822.93,0.3799,0.2358,0.89034,0.99896,0.99871,0.995,0.96468,0.32538,0.22163,0.84252,0.000382857,0.000382857,0.000382857
70,9964.67,0.37257,0.23179,0.88383,0.99891,0.99871,0.995,0.9653,0.32363,0.22054,0.84171,0.000241429,0.000241429,0.000241429
