epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,237.652,0.49181,0.49013,0.91757,0.96371,0.96881,0.98799,0.87069,0.52958,0.39825,0.91128,0.000354691,0.000354691,0.000354691
60,241.493,0.51077,0.51171,0.91717,0.98737,0.95766,0.98916,0.88178,0.5049,0.37255,0.89029,0.000346445,0.000346445,0.000346445
61,245.41,0.49871,0.48203,0.91314,0.98725,0.94505,0.98741,0.87461,0.50763,0.37352,0.88886,0.000338198,0.000338198,0.000338198
62,249.314,0.4922,0.48676,0.90947,0.97886,0.97468,0.99001,0.87745,0.4996,0.36757,0.88842,0.000329951,0.000329951,0.000329951
63,253.268,0.48618,0.49522,0.90238,0.96229,0.97429,0.98034,0.86796,0.52057,0.40282,0.90412,0.000321705,0.000321705,0.000321705
64,257.285,0.48251,0.48288,0.89796,0.97878,0.9753,0.98364,0.88353,0.50359,0.37565,0.88746,0.000313458,0.000313458,0.000313458
65,261.223,0.47329,0.47763,0.8972,0.97765,0.99287,0.98597,0.88086,0.50042,0.37596,0.8736,0.000305211,0.000305211,0.000305211
66,265.193,0.48683,0.4626,0.91025,0.96879,0.98028,0.98522,0.8747,0.51058,0.37926,0.88572,0.000296964,0.000296964,0.000296964
67,269.162,0.47549,0.44548,0.90231,0.95906,0.98344,0.98774,0.8966,0.47182,0.36454,0.87044,0.000288718,0.000288718,0.000288718
68,273.161,0.47869,0.45739,0.89192,0.97944,0.95941,0.98918,0.87917,0.49519,0.36473,0.87237,0.000280471,0.000280471,0.000280471
69,277.112,0.48971,0.46235,0.89877,0.96479,0.96083,0.9869,0.88289,0.48638,0.3754,0.87188,0.000272224,0.000272224,0.000272224
70,281.174,0.47824,0.44605,0.90288,0.95716,0.98513,0.98921,0.8887,0.48332,0.36846,0.8769,0.000263978,0.000263978,0.000263978
71,285.168,0.46904,0.43867,0.89458,0.97805,0.97033,0.98977,0.89543,0.48203,0.35186,0.87112,0.000255731,0.000255731,0.000255731
72,289.283,0.46268,0.44539,0.90319,0.96424,0.9729,0.98838,0.892,0.47648,0.35969,0.87035,0.000247484,0.000247484,0.000247484
73,293.213,0.46651,0.43941,0.9072,0.97023,0.97104,0.9833,0.88439,0.47785,0.37016,0.87144,0.000239238,0.000239238,0.000239238
74,297.179,0.4554,0.44695,0.90172,0.9582,0.99163,0.97965,0.8805,0.47014,0.35666,0.86525,0.000230991,0.000230991,0.000230991
75,301.178,0.43947,0.42648,0.8855,0.97163,0.97114,0.98065,0.87774,0.47801,0.36259,0.8669,0.000222744,0.000222744,0.000222744
76,305.228,0.46781,0.43429,0.89522,0.96851,0.98278,0.98261,0.8847,0.47867,0.36217,0.86039,0.000214497,0.000214497,0.000214497
77,309.216,0.45742,0.43421,0.89278,0.96088,0.95835,0.98,0.87982,0.47271,0.35131,0.86172,0.000206251,0.000206251,0.000206251
78,313.174,0.45538,0.42141,0.88863,0.96785,0.96851,0.98248,0.88251,0.46343,0.34354,0.85944,0.000198004,0.000198004,0.000198004
79,317.143,0.42918,0.41299,0.88759,0.97692,0.96703,0.98902,0.89593,0.46861,0.33275,0.86407,0.000189757,0.000189757,0.000189757
80,321.111,0.44369,0.41501,0.89883,0.97761,0.97166,0.99239,0.88686,0.48884,0.32983,0.87111,0.000181511,0.000181511,0.000181511
81,325.01,0.45047,0.41626,0.89279,0.96881,0.9852,0.99142,0.88645,0.47934,0.32802,0.86292,0.000173264,0.000173264,0.000173264
82,328.951,0.42591,0.41314,0.88377,0.96296,0.98063,0.98998,0.88879,0.47162,0.33596,0.8638,0.000165017,0.000165017,0.000165017
83,332.868,0.46155,0.41367,0.89831,0.97893,0.97647,0.987,0.89184,0.46574,0.33138,0.86052,0.000156771,0.000156771,0.000156771
84,336.89,0.42943,0.40623,0.88553,0.95407,0.99165,0.98153,0.88545,0.4697,0.32939,0.86147,0.000148524,0.000148524,0.000148524
85,340.835,0.40713,0.39245,0.88123,0.97729,0.9637,0.98029,0.88403,0.46776,0.33367,0.86312,0.000140277,0.000140277,0.000140277
86,344.766,0.40669,0.38242,0.87446,0.97727,0.96849,0.98116,0.8904,0.45712,0.32868,0.85955,0.000132031,0.000132031,0.000132031
87,348.68,0.42797,0.41209,0.89293,0.97576,0.96592,0.98202,0.89627,0.45739,0.3232,0.85856,0.000123784,0.000123784,0.000123784
88,352.564,0.43285,0.39983,0.883,0.97401,0.96099,0.98525,0.90151,0.46021,0.3203,0.85746,0.000115537,0.000115537,0.000115537
89,356.539,0.41958,0.39427,0.88165,0.97146,0.96521,0.98599,0.8923,0.45436,0.31973,0.85491,0.00010729,0.00010729,0.00010729
90,360.534,0.40236,0.38369,0.8785,0.95257,0.98492,0.98443,0.89923,0.44425,0.31996,0.85394,9.90437e-05,9.90437e-05,9.90437e-05
91,390.55,0.41081,0.40588,0.86266,0.95181,0.97776,0.98856,0.89081,0.45115,0.32159,0.85823,9.0797e-05,9.0797e-05,9.0797e-05
92,394.486,0.3898,0.36919,0.85362,0.9499,0.96851,0.98938,0.89104,0.46394,0.33327,0.86652,8.25503e-05,8.25503e-05,8.25503e-05
93,398.419,0.37722,0.3554,0.84086,0.9511,0.97921,0.9884,0.89087,0.45536,0.32697,0.85852,7.43036e-05,7.43036e-05,7.43036e-05
94,402.337,0.37254,0.35411,0.84342,0.94455,0.98734,0.9862,0.89078,0.45382,0.32444,0.85732,6.60569e-05,6.60569e-05,6.60569e-05
95,406.375,0.36337,0.35439,0.83073,0.95795,0.9728,0.98869,0.8935,0.44907,0.32303,0.85229,5.78102e-05,5.78102e-05,5.78102e-05
96,410.469,0.35977,0.3376,0.83065,0.95846,0.98661,0.98928,0.89917,0.45012,0.32056,0.85196,4.95635e-05,4.95635e-05,4.95635e-05
97,414.555,0.35905,0.34648,0.83504,0.95866,0.98856,0.98923,0.89736,0.45136,0.31988,0.8516,4.13168e-05,4.13168e-05,4.13168e-05
98,418.553,0.36506,0.34074,0.82953,0.95602,0.9861,0.98918,0.89651,0.44574,0.31743,0.84896,3.30701e-05,3.30701e-05,3.30701e-05
99,422.498,0.3526,0.33486,0.82894,0.95711,0.97935,0.98901,0.89732,0.44136,0.31747,0.84728,2.48234e-05,2.48234e-05,2.48234e-05
100,426.401,0.34736,0.34062,0.83408,0.95407,0.97677,0.98871,0.89554,0.43943,0.31533,0.84613,1.65767e-05,1.65767e-05,1.65767e-05
